#    wavelength  f-value   gamma    Morton compilation, 2 cpts sep by 1.3 km/s
#
H I alpha     1215.6701 0.416400  6.265E8
H I beta      1025.7223 0.079120  1.897E8
H I gamma      972.5368 0.029000  8.126E7
H I delta      949.7431 0.013940  7.640E7
H I epsilon    937.8035 0.007799  4.423E7
H I zeta       930.7483 0.004814  1.236E7
H I eta        926.2257 0.003183  8.249E6
H I theta      923.1504 0.002216  5.782E6
H I iota       920.9631 0.001605  4.208E6
H I kappa      919.3514 0.00120   3.158E6
H I lambda     918.1294 0.000921  2.430E6
H I mu         917.1806 0.000722  1.910E6
H I nu         916.429  0.000577  1.529E6
H I xi         915.824  0.000469  1.243E6
H I omicron    915.329  0.000386  1.024E6
H I pi         914.919  0.000321  8.533E5
H I rho        914.576  0.000270  7.186E5
H I sigma      914.286  0.000230  6.109E5
H I tau        914.039  0.000197  5.237E5
H I upsilon    913.826  0.000170  4.523E5
H I phi        913.641  0.000148  3.933E5
H I chi        913.480  0.000129  3.443E5
H I psi        913.339  0.000114  3.030E5
H I omega      913.215  0.000101  2.679E5
H I            913.104  0.000089  2.382E5
H I            913.006  0.000080  2.127E5
H I            912.918  0.000071  1.907E5
H I            912.839  0.000064  1.716E5
H I            912.768  0.000058  1.550E5
H I            912.703  0.000053  1.405E5
H I            912.645  0.000048  1.277E5

